				Товар			Знач.	Продажи за год		01.01.15	 - 14.01.15	15.01.15	 - 31.01.15	01.02.15	 - 14.02.15	15.02.15	 - 28.02.15	01.03.15	 - 14.03.15	15.03.15	 - 31.03.15	01.04.15	 - 14.04.15	15.04.15	 - 30.04.15	01.05.15	 - 14.05.15	15.05.15	 - 31.05.15	01.06.15	 - 14.06.15	15.06.15	 - 30.06.15	01.07.15	 - 14.07.15	15.07.15	 - 31.07.15	01.08.15	 - 14.08.15	15.08.15	 - 31.08.15	01.09.15	 - 14.09.15	15.09.15	 - 30.09.15	01.10.15	 - 14.10.15	15.10.15	 - 31.10.15	01.11.15	 - 14.11.15	15.11.15	 - 30.11.15	01.12.15	 - 14.12.15	15.12.15	 - 31.12.15
								План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт	План	Факт
		Итого					К-во	   46 160	         	    1 950	         	    3 860	         	    4 100	         	    4 150	         	    4 900	         	    4 950	         	    5 060	         	    5 160	         	    6 015	         	    6 015	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         
							%наценки	  27%		  19%		  19%		  29%		  29%		  29%		  29%		  27%		  27%		  26%		  26%																													
							Себест.	   1 261 638.40	               	      42 773.70	               	      42 773.70	               	     129 189.00	               	     129 189.00	               	     129 189.00	               	     129 189.00	               	     157 704.80	               	     157 704.80	               	     171 962.70	               	     171 962.70	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               
							Наценка	     341 614.48	               	       8 127.00	               	       8 127.00	               	      37 283.81	               	      37 283.81	               	      37 283.81	               	      37 283.81	               	      42 701.81	               	      42 701.81	               	      45 410.81	               	      45 410.81	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               
							Оборот	   1 603 252.88	               	      50 900.70	               	      50 900.70	               	     166 472.81	               	     166 472.81	               	     166 472.81	               	     166 472.81	               	     200 406.61	               	     200 406.61	               	     217 373.51	               	     217 373.51	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               
У0000169		Стиральные машины СЛАВДА					К-во	   25 830	         	    1 315	         	    2 765	         	    2 225	         	    2 275	         	    2 775	         	    2 825	         	    2 685	         	    2 785	         	    3 090	         	    3 090	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         
							%наценки	  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%																													
							Себест.	     798 442.40	               	      42 773.70	               	      42 773.70	               	      71 289.50	               	      71 289.50	               	      71 289.50	               	      71 289.50	               	      99 805.30	               	      99 805.30	               	     114 063.20	               	     114 063.20	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               
							Наценка	     151 704.08	               	       8 127.00	               	       8 127.00	               	      13 545.01	               	      13 545.01	               	      13 545.01	               	      13 545.01	               	      18 963.01	               	      18 963.01	               	      21 672.01	               	      21 672.01	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               
							Оборот	     950 146.48	               	      50 900.70	               	      50 900.70	               	      84 834.51	               	      84 834.51	               	      84 834.51	               	      84 834.51	               	     118 768.31	               	     118 768.31	               	     135 735.21	               	     135 735.21	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               
Ц0006316	У0000169	Стиральная машина СЛАВДА WS-20  двубаковая					К-во	         	         	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79		       1 874.79	
							%наценки			  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%		  28%	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0012616	У0000169	Стиральная машина СЛАВДА WS-30EТ пр-во Россия					К-во	    5 400	         	      250		      550		      600		      600		      600		      600		      500		      500		      600		      600		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							%наценки			 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0006828	У0000169	Стиральная машина СЛАВДА WS-30Т пр-во Россия					К-во	         	         	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95		       1 331.95	
							%наценки			  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%		  24%	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0012016	У0000169	Стиральная машина СЛАВДА WS-35 пр-во Россия					К-во	         	         	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12		       1 426.12	
							%наценки			  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%		  14%	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0012624	У0000169	Стиральная машина СЛАВДА WS-35E пр-во Россия					К-во	    3 800	         	      250		      550		      250		      300		      300		      350		      350		      450		      500		      500		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							%наценки			 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0012617	У0000169	Стиральная машина СЛАВДА WS-40PET пр-во Россия					К-во	    4 600	         	      350		      650		      350		      350		      500		      500		      450		      450		      500		      500		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							%наценки			 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0006751	У0000169	Стиральная машина СЛАВДА WS-40PT пр-во Россия					К-во	         	         	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51		       2 376.51	
							%наценки			  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%		  21%	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0011831	У0000169	Стиральная машина СЛАВДА WS-45PT муз.таймер					К-во	         	         	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63		       2 499.63	
							%наценки			  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%		  18%	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0007854	У0000169	Стиральная машина СЛАВДА WS-45PT пр-во Россия					К-во	         	         	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93		       2 394.93	
							%наценки			  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%		  26%	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0012618	У0000169	Стиральная машина СЛАВДА WS-50PET пр-во Россия					К-во	    3 300	         	      100		      200		      250		      250		      400		      400		      400		      400		      450		      450		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							%наценки			 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0009669	У0000169	Стиральная машина СЛАВДА WS-50PT- пр-во Россия					К-во	         	         	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62		       3 172.62	
							%наценки			  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%		  13%	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0012619	У0000169	Стиральная машина СЛАВДА WS-60PET пр-во Россия					К-во	    5 000	         	      250	6рр7	      650		      450		      450		      600		      600		      500		      500		      500		      500		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							%наценки			 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0009989	У0000169	Стиральная машина СЛАВДА WS-60PT - пр-во Россия					К-во	         	         	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43		       3 111.43	
							%наценки			  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0006457	У0000169	Стиральная машина СЛАВДА WS-65P - однобаковая					К-во	      280	         	       15		       15		       25		       25		       25		       25		       35		       35		       40		       40		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	       2 851.58	               	       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58		       2 851.58	
							%наценки	  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%		  19%	
							Себест.	     798 442.40	               	      42 773.70		      42 773.70		      71 289.50		      71 289.50		      71 289.50		      71 289.50		      99 805.30		      99 805.30		     114 063.20		     114 063.20		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	     151 704.08	               	       8 127.00		       8 127.00		      13 545.01		      13 545.01		      13 545.01		      13 545.01		      18 963.01		      18 963.01		      21 672.01		      21 672.01		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	     950 146.48	               	      50 900.70		      50 900.70		      84 834.51		      84 834.51		      84 834.51		      84 834.51		     118 768.31		     118 768.31		     135 735.21		     135 735.21		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
Ц0012620	У0000169	Стиральная машина СЛАВДА WS-70PET пр-во Россия					К-во	    2 550	         	       50		      100		      200		      200		      250		      250		      350		      350		      400		      400		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Затр.цена	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							%наценки			 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Себест.	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Наценка	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
							Оборот	               	               	 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 		 	
